id;nome;situacao;grupo_maquina_id
91;KD ALLADIN;ATIVO;3
92;KD AVIAO;ATIVO;3
93;KD BATMAN;ATIVO;3
94;KD CAR SCHOOL;ATIVO;3
95;KD CATERPILLAR;ATIVO;3
96;KD CRAZY HORSE;ATIVO;3
97;KD DINO;ATIVO;3
98;KD DINO GUITARRA;ATIVO;3
99;KD FERRARI;ATIVO;3
100;KD HYDROJET;ATIVO;3
101;KD JUMBO JET;ATIVO;3
102;KD MICKEY;ATIVO;3
103;KD PATO DONALD;ATIVO;3
104;KD PINTINHO;ATIVO;3
105;KD RENA;ATIVO;3
106;KD RODEO COW;ATIVO;3
107;KD SMART TRAIN;ATIVO;3
108;KD SUBMARINO;ATIVO;3
109;KD TARTARUGA NINJA;ATIVO;3
110;KD TAXI;ATIVO;3
111;KD TOM E JERRY;ATIVO;3
112;KD TRATORE;ATIVO;3
113;KD XÍCARA;ATIVO;3
114;KDCAVALOITALIANO;ATIVO;3
115;KEY MASTER;ATIVO;1
116;KIDDIE PLAY;ATIVO;2
117;KING 2000;ATIVO;5
118;KING 2002;ATIVO;5
119;KING 2002 SUPER;ATIVO;5
120;KING HAMMER;ATIVO;4
121;MARVEL X STREET;ATIVO;5
122;MINI BASQUETE;ATIVO;4
123;MOTO MANX TT A;ATIVO;6
124;MOTO MANX TT B;ATIVO;6
125;MULTIJOGOS 100;ATIVO;5
126;MULTIJOGOS 300;ATIVO;5
127;NASCAR A;ATIVO;6
128;NASCAR B;ATIVO;6
129;OFF ROAD A;ATIVO;6
130;OFF ROAD B;ATIVO;6
131;PESCARIA;ATIVO;8
132;PILIIBLADE;ATIVO;4
133;PIPOCA;ATIVO;13
134;PIRATES HOOK A;ATIVO;4
135;PIRATES HOOK B;ATIVO;4
136;PISCINA DE BOLAS;ATIVO;2
137;PLAYGOL;ATIVO;5
138;RAGINGAPE;ATIVO;4
139;RALLY ITALIANO;ATIVO;2
140;REAL PUNCHER;ATIVO;6
141;RIBBIT RACIN A;ATIVO;4
142;RIBBIT RACIN B;ATIVO;4
143;SAIDA 1;ATIVO;11
144;SAIDA 2;ATIVO;11
145;SHARK PANIC;ATIVO;4
146;SMASHING DRIVE A;ATIVO;6
147;SMASHING DRIVE B;ATIVO;6
148;SOCCER MANIAC;ATIVO;9
149;SONHO DE MEL;ATIVO;4
150;SPEED UP A;ATIVO;6
151;SPEED UP B;ATIVO;6
152;STACKER;ATIVO;10
153;STREET ALPHA 3;ATIVO;5
154;STREET BASKET A;ATIVO;4
155;STREET BASKET B;ATIVO;4
156;STREET FEVER A;ATIVO;5
157;STREET FEVER B;ATIVO;5
158;STREET ZERO 2;ATIVO;5
159;SUPER BIKE 2 A;ATIVO;6
160;SUPER BIKE 2 B;ATIVO;6
161;TIGER BOWL;ATIVO;4
162;TIME CRISIS A;ATIVO;6
163;TIME CRISIS B;ATIVO;6
164;TOMBO LEGAL;ATIVO;2
165;TRANSFORMERS;ATIVO;6
166;TRIO KIDS;ATIVO;2
167;ULTRA FIREPOWER;ATIVO;6
168;VAPOR TRX A;ATIVO;6
169;VAPOR TRX B;ATIVO;6
170;VEGGIE BLAST;ATIVO;4
171;WACKY RACES A;ATIVO;6
172;WACKY RACES B;ATIVO;6
173;WADAIKO;ATIVO;6
174;WATER PARK;ATIVO;4
175;X BALL;ATIVO;4
